timestep,timestamp,baseline_temp,ai_temp,baseline_pmv,ai_pmv,baseline_kw,ai_kw
2,Day-Step 2,24.0,24.0,0.0,0.0,2.2110598523560188,2.2110598523560188
3,Day-Step 3,24.000000000000004,24.000000000000004,0.301449629703827,0.301449629703827,2.1856351369192533,2.1856351369192533
4,Day-Step 4,23.041584307118242,24.000000000000004,0.16142229091063862,0.3001191059196098,3.1361498607870155,2.159907654837461
5,Day-Step 5,23.000027437114102,24.0,0.12162917290302405,0.29890171933299764,2.213611459658281,2.1348395347142244
6,Day-Step 6,23.00000376330247,24.833779949868788,0.11607805754598265,0.41993032785582024,2.898360004945372,1.1080966778682182
7,Day-Step 7,23.000000486140852,24.999997938441183,0.11115007448427988,0.4764950098878085,2.6619994190517455,1.706636108161284
8,Day-Step 8,23.000000061890653,24.99999990082811,0.10793498223261827,0.4833068736378726,2.600745232704252,1.269682048258347
9,Day-Step 9,23.000000007793933,24.999999995255887,0.10551525349169605,0.48996802855801336,2.565428719256999,1.3031303414020605
10,Day-Step 10,23.000000000971397,24.99999999977069,0.10343489660575345,0.49456549825151425,2.53821637224801,1.3511132824087064
11,Day-Step 11,23.000000000120004,24.9999999999891,0.10159234180234722,0.49764978701704193,2.5171489215992713,1.353500341144745
12,Day-Step 12,23.000000000014705,24.999999999999496,0.09982927640445281,0.4997220803887553,2.497352544622778,1.347934314884617
13,Day-Step 13,23.000000000001783,24.999999999999975,0.09816573646861447,0.5012425126376263,2.478316696688894,1.3376293386998532
14,Day-Step 14,23.000000000000213,25.0,0.09658022815220918,0.502370661088215,2.4599657877931373,1.3240697563376003
15,Day-Step 15,23.000000000000025,25.0,0.09505549070180382,0.5032315493093611,2.4422055629692214,1.3080916841723216
16,Day-Step 16,23.000000000000004,25.0,0.09357702509314561,0.5039065429463083,2.424936875239232,1.2903026184331554
17,Day-Step 17,23.0,25.000000000000004,0.09213373702992513,0.5044560698760913,2.408071948315688,1.2711164358884772
18,Day-Step 18,22.999999999999996,24.999999999999996,0.09071725715226356,0.5049267712850983,2.3915544490839586,1.2508447228519677
19,Day-Step 19,23.0,25.0,0.08755491465532349,0.5053541195381241,2.3780915721887568,1.233179475325187
20,Day-Step 20,22.999999999999996,25.000000000000004,0.08624042810777968,0.5057606774657396,2.3652312502810635,1.2154174922197782
21,Day-Step 21,22.999999999999996,25.000000000000004,0.08492901238674537,0.5061384589974193,2.3528868693510097,1.1974349224253993
22,Day-Step 22,22.999999999999996,25.000000000000004,0.08391816242374427,0.5067346554470049,2.342486025066173,1.1822406979271487
23,Day-Step 23,22.999999999999996,25.000000000000004,0.08428233144704639,0.5083445917579785,2.352781516726071,1.1960726459293611
24,Day-Step 24,23.0,25.0,0.08672900456169925,0.51136165540467,2.3806507172822315,1.2384351127909103
25,Day-Step 25,23.0,25.0,0.09253497687697519,0.5149949842575237,2.4223748624361097,1.3046530157580418
